"sample_id","ppt","q","tmax","tmin","ws"
"LTR1_4.10.2010",68.1666666666667,18.05,10.8416666666667,3.10916666666667,3.20416666666667
"LTR1_3.10.2011",53.75,13.45,11.0758333333333,2.61166666666667,3.38083333333333
"LTR1_1.10.2012",46.225,5.6,11.4933333333333,3.26083333333334,3.34666666666667
"LTR1_7.10.2013",59.3166666666667,15.1166666666667,10.76,3.02416666666667,3.17416666666667
"LTR1_6.10.2014",46.4916666666667,10.8333333333333,12.6333333333333,4.43666666666667,3.21916666666667
"LTR1_5.10.2015",39.8083333333333,5.89166666666667,12.5241666666667,3.92166666666667,3.23
"LTR1_3.10.2016",53.95,13.3166666666667,12.5916666666667,4.26166666666667,3.11666666666667
"LTR1_2.10.2017",64.6916666666667,20.0166666666667,11.1083333333333,3.29166666666667,3.35416666666667
"LTR1_5.10.2020",42.6083333333333,2.13333333333333,13.6666666666667,5.25833333333334,3.60833333333333
"LTR1011_26.9.2013",51.725,15.25,10.745,3.21583333333333,2.72333333333333
"LTR1011_3.10.2016",50.3583333333333,9.60833333333333,11.8383333333333,4.61,2.73416666666667
"LTR1013_1.9.2010",66.6666666666667,17.7666666666667,10.4408333333333,2.82583333333334,2.8375
"LTR1013_8.10.2013",58.9333333333333,17.65,10.5258333333333,2.66833333333334,2.76583333333333
"LTR1013_28.9.2016",55.8,11.6333333333333,11.7366666666667,4.20333333333334,2.8625
"LTR1013_2.10.2019",48.3166666666667,9.99166666666667,12,4.35,2.8
"LTR1013_5.10.2022",55.3166666666667,14.0916666666667,11.4666666666667,3.56666666666667,3.09166666666667
"LTR1019_4.10.2012",51.35,8.96666666666667,11.0983333333333,3.4375,3.22083333333333
"LTR1019_1.10.2015",42.0833333333333,8.875,11.8733333333333,4.00166666666667,3.06916666666667
"LTR1019_1.10.2019",45.8666666666667,8.08333333333333,12.2333333333333,4.56666666666667,2.85
"LTR1019_3.10.2022",56.9916666666667,13.5416666666667,11.6,3.73333333333334,3.14166666666667
"LTR1021_9.10.2012",50.625,9.09166666666667,11.045,3.33833333333333,3.33666666666667
"LTR1021_4.10.2016",51.125,10.1,11.9491666666667,4.25833333333334,3.00666666666667
"LTR1021_26.9.2019",42.4416666666667,7.25,12.5416666666667,4.68333333333334,3.00833333333333
"LTR1021_20.9.2022",59.025,14,11.6416666666667,3.73333333333334,3.325
"LTR1023_4.10.2010",70.7333333333333,21.0333333333333,10.11,2.55166666666667,2.9125
"LTR1023_7.10.2013",60.5416666666667,18.7916666666667,10.4041666666667,2.52666666666667,2.8175
"LTR1023_27.9.2016",57.4083333333333,13.4166666666667,11.6841666666667,4.05833333333333,2.90666666666667
"LTR1023_25.9.2019",48.0333333333333,9.44166666666667,12.2083333333333,4.35833333333334,2.84166666666667
"LTR1023_4.10.2022",55.1916666666667,18.35,11.3416666666667,3.38333333333334,3.14166666666667
"LTR1027_11.10.2017",67.6916666666667,18.7,10.1333333333333,3.04166666666667,3.10833333333333
"LTR1027_4.10.2022",55.7916666666667,18.4583333333333,11.2583333333333,3.3,3.13333333333333
"LTR1032_8.10.2012",52.7333333333333,9.825,10.9108333333333,3.10833333333334,3.2775
"LTR1032_6.10.2015",43.4666666666667,9.19166666666667,11.7433333333333,3.655,3.12083333333333
"LTR1037_10.10.2012",49.925,8.94166666666667,11.1983333333333,3.57333333333334,3.33666666666667
"LTR1037_8.10.2015",40.675,7.78333333333333,12.0525,4.11833333333333,3.19833333333333
"LTR1037_4.10.2018",49.5833333333333,16.4333333333333,12.2583333333333,4.50833333333334,3.2525
"LTR1037_29.9.2021",54.075,8.61666666666667,12.0916666666667,4.25833333333334,3.25833333333333
"LTR1038_30.9.2015",37.8416666666667,7.40833333333333,12.0975,4.07416666666667,3.1825
"LTR1043_30.9.2010",65.2583333333333,16.2916666666667,10.5066666666667,2.93666666666667,2.84833333333333
"LTR1043_26.9.2013",53.8666666666667,16.3833333333333,10.6825,2.8525,2.82416666666667
"LTR1043_1.10.2015",43.0833333333333,9.71666666666667,11.765,3.9275,3.03833333333333
"LTR1043_3.10.2019",47.125,9.175,12.1,4.475,2.81666666666667
"LTR1043_3.10.2022",56.2166666666667,13.8666666666667,11.525,3.65,3.10833333333333
"LTR1044_3.10.2012",51.9083333333333,9.25833333333333,11.0116666666667,3.26,3.22833333333333
"LTR1044_28.9.2016",55.2,11.0083333333333,11.8475,4.20583333333333,2.92416666666667
"LTR1044_2.10.2019",46.9916666666667,8.79166666666667,12.125,4.38333333333334,2.85833333333333
"LTR1044_6.10.2022",55.9666666666667,14.3916666666667,11.5,3.54166666666667,3.16666666666667
"LTR1049_8.10.2012",52.725,9.7,10.9425,3.1375,3.22916666666667
"LTR1049_6.10.2015",44.125,9.85833333333333,11.7358333333333,3.70500000000001,3.0675
"LTR1049_3.10.2018",52.325,19.35,11.8916666666667,4.025,3.135
"LTR1049_7.10.2021",58.425,7.69166666666667,11.6,3.63333333333333,3.2
"LTR105_27.9.2010",74.0416666666667,26.6166666666667,9.99333333333334,2.58833333333334,2.77416666666667
