"np" "dist" "gamma" "dir.hor" "dir.ver" "id"
"1" 13702 5.80785064472593 0.0155667379269585 0 0 "var1"
"2" 31026 15.6634325590547 0.0170043332896217 0 0 "var1"
"3" 47298 25.7239093804929 0.016120503192008 0 0 "var1"
"4" 61826 35.8456648220178 0.0175616787583948 0 0 "var1"
"5" 75696 45.9486866869968 0.0177079565296715 0 0 "var1"
"6" 83276 56.0308423442844 0.0167061688086156 0 0 "var1"
"7" 92170 66.2892753270705 0.0176685796943029 0 0 "var1"
"8" 100846 76.4910904855349 0.0183434012036628 0 0 "var1"
"9" 106629 86.6338558646078 0.0194921107872744 0 0 "var1"
"10" 109910 96.8242773896956 0.0189917867444292 0 0 "var1"
"11" 114861 107.008348438321 0.019347704908198 0 0 "var1"
"12" 117971 117.214130791036 0.0190519350663076 0 0 "var1"
"13" 118103 127.33390182155 0.0189259914956703 0 0 "var1"
"14" 115302 137.497479741059 0.0193460215908177 0 0 "var1"
"15" 113060 147.665825867104 0.0183227254702538 0 0 "var1"
