site_id,sample_id,site_code,day,month,year,date,latitude,longitude,waterbody_name,waterbody_type,state,EQR,EQC
LTL345,LTL345_6.5.2020,LTL345_2020,6,5,2020,6/5/2020,55.1897588,25.46822299,,lake,,0.72,Good
LTL347,LTL347_8.5.2013,LTL347_2013,8,5,2013,8/5/2013,55.19653145,25.64593491,,lake,,0.8364,High
LTL347,LTL347_2.5.2019,LTL347_2019,2,5,2019,2/5/2019,55.19653145,25.64593491,,lake,,0.44,Moderate
LTL348,LTL348_9.5.2016,LTL348_2016,9,5,2016,9/5/2016,55.23089911,25.53157946,,lake,,0.58,Good
LTL348,LTL348_26.4.2022,LTL348_2022,26,4,2022,26/4/2022,55.23089911,25.53157946,,lake,,0.73,Good
LTL349,LTL349_19.5.2014,LTL349_2014,19,5,2014,19/5/2014,55.2064224,25.44943293,,lake,,0.46,Moderate
LTL349,LTL349_6.5.2020,LTL349_2020,6,5,2020,6/5/2020,55.2064224,25.44943293,,lake,,0.49,Moderate
LTL350,LTL350_9.5.2016,LTL350_2016,9,5,2016,9/5/2016,55.25506413,25.50516683,,lake,,0.77,High
LTL350,LTL350_26.4.2022,LTL350_2022,26,4,2022,26/4/2022,55.25506413,25.50516683,,lake,,0.76,High
LTL352,LTL352_3.5.2016,LTL352_2016,3,5,2016,3/5/2016,55.17751216,25.76961941,,lake,,0.76,High
LTL352,LTL352_19.5.2022,LTL352_2022,19,5,2022,19/5/2022,55.17751216,25.76961941,,lake,,0.48,Moderate
LTL353,LTL353_3.5.2016,LTL353_2016,3,5,2016,3/5/2016,55.1508097,25.77576456,,lake,,0.81,High
LTL353,LTL353_19.5.2022,LTL353_2022,19,5,2022,19/5/2022,55.1508097,25.77576456,,lake,,0.61,Good
LTL354,LTL354_11.5.2016,LTL354_2016,11,5,2016,11/5/2016,55.09154058,25.73890907,,lake,,0.53,Good
LTL354,LTL354_18.5.2023,LTL354_2023,18,5,2023,18/5/2023,55.09154058,25.73890907,,lake,,0.65,Good
LTL355,LTL355_29.4.2015,LTL355_2015,29,4,2015,29/4/2015,55.06046977,25.62671195,,lake,,0.46,Moderate
LTL355,LTL355_17.5.2021,LTL355_2021,17,5,2021,17/5/2021,55.06046977,25.62671195,,lake,,0.58,Good
LTL356,LTL356_21.5.2014,LTL356_2014,21,5,2014,21/5/2014,55.08491107,25.48624031,,lake,,0.47,Moderate
LTL356,LTL356_13.5.2020,LTL356_2020,13,5,2020,13/5/2020,55.08491107,25.48624031,,lake,,0.69,Good
LTL357,LTL357_21.5.2014,LTL357_2014,21,5,2014,21/5/2014,55.06813824,25.5128657,,lake,,0.78,High
LTL357,LTL357_13.5.2020,LTL357_2020,13,5,2020,13/5/2020,55.06813824,25.5128657,,lake,,0.68,Good
LTL358,LTL358_29.4.2015,LTL358_2015,29,4,2015,29/4/2015,55.04511446,25.56411343,,lake,,0.85,High
LTL358,LTL358_17.5.2021,LTL358_2021,17,5,2021,17/5/2021,55.04511446,25.56411343,,lake,,0.78,High
LTL359,LTL359_10.5.2017,LTL359_2017,10,5,2017,10/5/2017,54.98740779,25.56515034,,lake,,0.82,High
LTL359,LTL359_3.5.2023,LTL359_2023,3,5,2023,3/5/2023,54.98740779,25.56515034,,lake,,0.54,Good
LTL360,LTL360_27.5.2014,LTL360_2014,27,5,2014,27/5/2014,55.15810571,25.32924275,,lake,,0.45,Moderate
LTL360,LTL360_23.4.2020,LTL360_2020,23,4,2020,23/4/2020,55.15810571,25.32924275,,lake,,0.76,High
LTL362,LTL362_23.4.2014,LTL362_2014,23,4,2014,23/4/2014,55.02441213,24.78163141,,lake,,0.73,Good
LTL362,LTL362_19.5.2020,LTL362_2020,19,5,2020,19/5/2020,55.02441213,24.78163141,,lake,,0.57,Good
LTL363,LTL363_7.5.2014,LTL363_2014,7,5,2014,7/5/2014,54.88089922,25.13911279,,lake,,0.57,Good
LTL363,LTL363_21.4.2020,LTL363_2020,21,4,2020,21/4/2020,54.88089922,25.13911279,,lake,,0.76,High
LTL364,LTL364_10.5.2023,LTL364_2023,10,5,2023,10/5/2023,54.87292887,25.26866348,,lake,,0.54,Good
LTL365,LTL365_2.5.2016,LTL365_2016,2,5,2016,2/5/2016,54.7904249,25.08530498,,lake,,0.79,High
